Cape Perks,multiple_choice,"How many times per day can the Agility cape restore 100% run energy?","Once|Three times|Five times|Unlimited","Once","","The Agility cape restores 100% run energy and gives the stamina potion effect once per day. It also functions as a substitute for a graceful cape."
Cape Perks,free_response,"What items can be searched from the Fletching cape, up to three times per day?","","A mithril grapple and bronze crossbow","mithril grapple|bronze crossbow","The Fletching cape can be searched for a mithril grapple and bronze crossbow up to three times each day. Sold by Hickton in Catherby."
Cape Perks,multiple_choice,"The Farming cape gives a 5% boost to which specific activity?","Base chance to save herb harvest lives|Allotment yield|Farming XP per action|Tree patch growth speed","Base chance to save herb harvest lives","","The Farming cape increases the base chance to save harvest lives and gain extra herbs from herb patches by 5%. Stacks with magic secateurs. Sold by Martin the Master Gardener in Draynor."
Cape Perks,multiple_choice,"What does the Herblore cape allow Zahur in Nardah to do without completing the Hard Desert Diary?","Create unfinished potions for 200 coins each|Clean grimy herbs for free|Note all clean herbs|Decant all potions for free","Create unfinished potions for 200 coins each","","The Herblore cape lets Zahur create unfinished potions for 200 coins each without the Hard Desert Diary. It also allows grimy herbs to be used directly and can be searched for a pestle and mortar."
Cape Perks,true_false,"The Hitpoints cape's HP regen effect stacks with the Rapid Heal prayer.","","false","","False. The Hitpoints cape doubles natural HP restoration but does NOT stack with Rapid Heal. It does stack with the regen bracelet. Sold by Surgeon General Tafani at Emir's Arena."
Cape Perks,multiple_choice,"What does the Firemaking cape act as, both when equipped AND when in inventory?","An inextinguishable light source|A tinderbox substitute|Warm clothing for Wintertodt only|A pair of pyromancer gloves","An inextinguishable light source","","The Firemaking cape is an inextinguishable light source whether equipped or in inventory. It also counts as warm clothing for the Wintertodt. Sold by Ignatius Vulcan south of Seers' Village."
Cape Perks,multiple_choice,"The Attack cape perk removes which requirement when accessing cyclopes in the Warriors' Guild?","Warrior guild tokens|The minimum attack level|Membership to the Warriors' Guild|The need to defeat Kamfreena","Warrior guild tokens","","The Attack cape removes the need for warrior guild tokens to access cyclopes in the Warriors' Guild. Sold by Ajjat at the Warriors' Guild."
Cape Perks,multiple_choice,"What does the Thieving cape add to pickpocketing success rates?","10% extra success chance|15% extra success chance|5% extra success chance|20% extra success chance","10% extra success chance","","The Thieving cape adds a 10% chance of success when pickpocketing. This stacks with the Easy, Medium, and Hard Ardougne Diary bonuses. Sold by Martin Thwait in Rogues' Den."
Cape Perks,true_false,"The Slayer cape, when worn, gives a 10% chance of being offered the previous Slayer task when getting a new one.","","true","","True. The Slayer cape provides a 10% chance to pick the previous task from any Slayer master. Sold by Duradel in Shilo Village."
Slayer Masters,multiple_choice,"What are the two requirements to use Duradel as your Slayer master?","50 Slayer and 100 Combat|70 Slayer and 85 Combat|60 Slayer and 100 Combat|No Slayer req — 100 Combat only","50 Slayer and 100 Combat","","Duradel requires 100 combat AND 50 Slayer. Konar quo Maten also requires a Slayer level (75), so Duradel is not unique in that regard — but his combat requirement is the highest of any master."
Slayer Masters,multiple_choice,"Excluding Krystilia (Wilderness-only), which Slayer master gives the most base points per task?","Duradel (15)|Konar quo Maten (18)|Nieve (12)|Steve/Nieve (12)","Konar quo Maten (18)","","Konar quo Maten gives 18 base points per task (20 with Elite Kourend & Kebos Diary). Krystilia gives more (25) but is excluded as she only assigns Wilderness tasks on a separate counter."
Slayer Masters,multiple_choice,"Where is the Slayer master Chaeldar located?","Zanaris, by the Fairy Queen's throne|Tree Gnome Stronghold|Shilo Village|Mount Karuulm","Zanaris, by the Fairy Queen's throne","","Chaeldar is in Zanaris. She requires 70 combat and Lost City quest completion. She gives 10 base points per task."
Slayer Masters,true_false,"Krystilia, the Edgeville Slayer master, requires a minimum combat level to assign tasks.","","false","","False. Krystilia has no combat or Slayer level requirement. She assigns only Wilderness tasks and gives 25 base points per task — the highest of any Slayer master."
Slayer Masters,multiple_choice,"What quest must be completed to unlock Spria as a Slayer master?","A Porcine of Interest|Priest in Peril|While Guthix Sleeps|The Restless Ghost","A Porcine of Interest","","Spria is Turael's daughter in Draynor Village. She requires A Porcine of Interest and gives 0 points per task — same as Turael."
Slayer Masters,multiple_choice,"Where is the Slayer master Vannaka located?","Edgeville Dungeon, east of the Wilderness gate|Burthorpe centre|Draynor Village|South of Falador","Edgeville Dungeon, east of the Wilderness gate","","Vannaka is in Edgeville Dungeon. He requires 40 combat and gives 8 base Slayer points per task."
Slayer Masters,multiple_choice,"After completing Monkey Madness II, who replaces Nieve as the Slayer master at Tree Gnome Stronghold?","Steve|Duradel|Kuradal|Achtryn","Steve","","Steve replaces Nieve after Monkey Madness II. Similarly, Kuradal replaces Duradel and Achtryn temporarily replaces Mazchna after While Guthix Sleeps."
Slayer Masters,multiple_choice,"What is Duradel's minimum Slayer level requirement — and is he the only master with this?","50 Slayer; yes, he's the only master with a Slayer req|50 Slayer; Konar also requires 50|70 Slayer; he's the only master with a Slayer req|No Slayer req; combat only","50 Slayer; yes, he's the only master with a Slayer req","","Duradel requires 50 Slayer AND 100 combat. He is the only Slayer master in OSRS with a Slayer level requirement."
Slayer Masters,multiple_choice,"How many base Slayer points does Konar quo Maten award per task with the Elite Kourend & Kebos Diary?","15|18|20|25","20","","Konar gives 18 base points, which increases to 20 with the Elite Kourend & Kebos Diary. She also provides brimstone keys from assigned monsters."
Slayer Masters,true_false,"A player with 99 Slayer can show their Slayer cape to bypass combat level requirements for any Slayer master.","","true","","True. The combat level requirement for all Slayer masters can be bypassed by achieving 99 Slayer and showing the Slayer cape to the master."
Quest Points,multiple_choice,"How many quest points are required to start Dragon Slayer II — the highest QP requirement in the game?","175|180|200|250","200","","Dragon Slayer II requires 200 quest points to start — the highest of any quest. By contrast, While Guthix Sleeps requires 180."
Quest Points,multiple_choice,"How many total quest points are available in Old School RuneScape?","295|315|335|350","335","","There are 335 total QP: 46 from F2P quests and 289 from members quests. All 335 are needed for the Quest Point cape."
Quest Points,true_false,"Recipe for Disaster awards a total of 10 quest points across all its sub-quests.","","true","","True. Recipe for Disaster has 10 parts (intro + 8 subquests + finale), each awarding 1 QP — the most of any single quest in OSRS."
Quest Points,multiple_choice,"How many quest points are needed to start Legends' Quest?","75|100|107|150","107","","Legends' Quest requires 107 QP. Completing it grants access to the Legends' Guild — and the Quest Point cape teleports there."
Quest Points,multiple_choice,"What is unlocked every 50 quest points, up to a maximum of 6?","A Slayer block slot|An extra Slayer skip|A POH room slot|An extra bank tab","A Slayer block slot","","Every 50 QP unlock a Slayer block slot, up to 6 at 300 QP. The Quest Point cape gives a 7th block slot."
Quest Points,multiple_choice,"How many quest points are required to enter the Champions' Guild and start Dragon Slayer I?","20|28|32|40","32","","32 QP are needed to enter the Champions' Guild, which is where Dragon Slayer I is started."
Quest Points,multiple_choice,"Which F2P quest awards 5 Quest Points — the most of any F2P quest?","Goblin Diplomacy|Dragon Slayer I|Black Knights' Fortress|Demon Slayer","Goblin Diplomacy","","Goblin Diplomacy awards 5 QP, the most of any F2P quest. Dragon Slayer I only gives 2 QP. Romeo & Juliet was removed from the game and is no longer available."
Quest Points,multiple_choice,"How many quest points are needed to start Swan Song, which unlocks the Piscatoris Fishing Colony?","75|100|107|150","100","","Swan Song requires 100 QP and gives access to the Piscatoris Fishing Colony and its monkfish fishing."
Quest Points,multiple_choice,"How many quest points are required to start While Guthix Sleeps?","150|175|180|200","180","","While Guthix Sleeps requires 180 QP. It's the second-highest QP requirement after Dragon Slayer II (200)."
Quest Points,true_false,"Having maximum quest points (335) reduces the cost of Nightmare Zone Rumble mode by 10,000 coins.","","true","","True. Max QP reduces NMZ custom Rumble mode by 10,000 coins — to 12,000 for normal and 16,000 for hard mode."
Skill Requirements,multiple_choice,"What Agility level (non-boostable) is required to complete Song of the Elves?","65|68|70|72","70","","Song of the Elves requires 70 Agility AND 70 Construction — both non-boostable — along with several other high skill requirements."
Skill Requirements,multiple_choice,"Which quest is the only one with a raw combat level requirement — and what is it?","Dream Mentor — 85 combat|Song of the Elves — 100 combat|Monkey Madness II — 90 combat|Dragon Slayer II — 100 combat","Dream Mentor — 85 combat","","Dream Mentor is the only OSRS quest with a raw combat level requirement: 85 combat. All other quests use individual skill requirements."
Skill Requirements,multiple_choice,"What Defence level is required for King's Ransom?","55|60|65|70","65","","King's Ransom requires 65 Defence — notably high for a single-skill gate."
Skill Requirements,true_false,"The Agility requirement for Troll Romance (28 Agility) is boostable.","","false","","False. Troll Romance has a non-boostable 28 Agility requirement. Many agility requirements in quests cannot be boosted."
Skill Requirements,multiple_choice,"What Cooking level is required to start Heroes' Quest?","45|53|60|65","53","","Heroes' Quest requires 53 Cooking (boostable). It also requires 55 QP and completion of several prerequisite quests."
Skill Requirements,multiple_choice,"What Agility level is required (non-boostable) for Secrets of the North?","60|65|69|72","69","","Secrets of the North requires 69 Agility, non-boostable — one of the highest Agility requirements in any OSRS quest."
Skill Requirements,multiple_choice,"What Crafting level does Monkey Madness II require?","60|65|70|75","70","","Monkey Madness II requires 70 Crafting (non-boostable), alongside 55 Agility and 69 Hunter (both non-boostable)."
Skill Requirements,multiple_choice,"What Construction level is required for Desert Treasure II - The Fallen Empire?","50|55|60|65","60","","Desert Treasure II requires 60 Construction (non-boostable). It also requires completing His Faithful Servants miniquest."
Skill Requirements,multiple_choice,"What is the Agility requirement for Making Friends with My Arm?","60|64|68|70","68","","Making Friends with My Arm requires 68 Agility (boostable) and 35 Construction (boostable). It continues the Troll quest series."
Skill Requirements,true_false,"The quest Regicide has a boostable Agility requirement of 56.","","true","","True. Regicide requires 56 Agility (boostable). It's part of the Elf quest series and leads to the underground pass to Tirannwn."
Barrows,multiple_choice,"Which of the six Barrows brothers uses Ranged attacks?","Karil the Tainted|Ahrim the Blighted|Verac the Defiled|Guthan the Infested","Karil the Tainted","","Karil the Tainted is the Ranged brother, using a crossbow with bolt racks. Ahrim is the Magic brother."
Barrows,multiple_choice,"Which Barrows brother uses Magic attacks?","Ahrim the Blighted|Karil the Tainted|Dharok the Wretched|Torag the Corrupted","Ahrim the Blighted","","Ahrim the Blighted uses Magic and wields a staff. His set includes: hood, robetop, robeskirt, and staff."
Barrows,true_false,"The Barrows brothers count toward Ghost Slayer tasks because of their ghostly appearance.","","false","","False. Despite looking ghostly, the brothers are wights — they count toward Boss Slayer tasks. Crumble Undead cannot be used on them."
Barrows,multiple_choice,"Which OSRS lore character gave the Barrows brothers their power and cursed them?","Sliske|Lucien|Zamorak|Azzanadra","Sliske","","Sliske (a Mahjarrat) was the mysterious stranger who gave the brothers power, then cast an ancient spell reanimating them as wights."
Barrows,multiple_choice,"What is the only quest required before a player can access the Barrows area?","Priest in Peril|His Faithful Servants miniquest|In Aid of the Myreque|Shades of Mort'ton","Priest in Peril","","Priest in Peril is the only requirement to access Morytania where Barrows is located. No miniquest is required to dig into the crypts — just a spade."
Barrows,true_false,"Completing the Hard Morytania Achievement Diary rewards more runes from the Barrows chest.","","true","","True. The Hard Morytania Diary causes players to receive more runes from the Barrows chest."
Barrows,multiple_choice,"How many Barrows brothers must be killed to guarantee a loot roll at the Barrows chest?","3|4|6|All brothers plus extra crypts","6","","All six brothers (Ahrim, Dharok, Guthan, Karil, Torag, Verac) must be killed to receive a full loot roll. Each brother killed adds to the chest's potential reward table."
Barrows,multiple_choice,"What Agility level unlocks the dry stone wall shortcut on the south-west side of the Barrows mounds?","60|65|70|72","72","","Level 72 Agility unlocks the dry stone wall shortcut near the Barrows. The best teleport is the Arceuus Barrows Teleport at level 83 Magic."
Achievement Diaries,multiple_choice,"How many Achievement Diary regions are there in Old School RuneScape?","10|12|14|16","12","","There are 12 diary regions: Ardougne, Desert, Falador, Fremennik, Kandarin, Karamja, Kourend & Kebos, Lumbridge & Draynor, Morytania, Varrock, Western Provinces, and Wilderness."
Achievement Diaries,multiple_choice,"Who sells the Achievement Diary cape, and where?","Twiggy O'Korn in Draynor Village|Wise Old Man in Draynor Village|Hatius Cosaintus in Lumbridge|Toby in Varrock","Twiggy O'Korn in Draynor Village","","Twiggy O'Korn in Draynor Village sells the Achievement Diary cape for 99,000 coins after completing all 12 diaries."
Achievement Diaries,multiple_choice,"What is the highest Fishing level required for any Achievement Diary task?","90|93|95|96","96","","The Morytania Elite Diary requires Fishing 96 — the highest Fishing requirement of any diary task."
Achievement Diaries,multiple_choice,"Which Achievement Diary requires the highest Slayer level for its Elite tier (95 Slayer)?","Kourend & Kebos|Western Provinces|Fremennik|Wilderness","Kourend & Kebos","","The Kourend & Kebos Diary requires Slayer 95 for its Elite tier — the highest Slayer requirement of any diary."
Achievement Diaries,multiple_choice,"How many total Achievement Diary tasks are there across all 12 regions?","320|420|492|550","492","","There are 492 tasks spread across all 12 Achievement Diary regions in Old School RuneScape."
Achievement Diaries,true_false,"Elite diary tasks can require levels into the 90s, while Easy tasks cap at around level 40.","","true","","True. Easy diary tasks go up to ~level 40, Medium up to ~65, Hard up to ~75, and Elite tasks go into the 90s (e.g. Fishing 96, Magic 96, Slayer 95)."
Achievement Diaries,multiple_choice,"What is the Wilderness Diary's highest magic requirement for its Elite tier?","90|93|94|96","96","","The Wilderness Elite Diary requires Magic 96 — tied with Morytania's Fishing 96 for the highest single-skill requirement in any diary."
Quest Trivia,multiple_choice,"Recipe for Disaster was the 100th quest released in RuneScape. Which quest is it a sequel to?","Cook's Assistant|The Grand Tree|Monkey Madness I|Legends' Quest","Cook's Assistant","","Recipe for Disaster is a sequel to Cook's Assistant. The villain is the Culinaromancer. It was released on 15 March 2006."
Quest Trivia,multiple_choice,"What miniquest is a prerequisite for both Horror from the Deep AND Scorpion Catcher?","Alfred Grimhand's Barcrawl|Enter the Abyss|Skippy and the Mogres|Curse of the Empty Lord","Alfred Grimhand's Barcrawl","","Alfred Grimhand's Barcrawl (a miniquest, no QP awarded) is required for Horror from the Deep and Scorpion Catcher."
Quest Trivia,multiple_choice,"Which F2P quest was the newest as of February 2026?","The Ides of Milk|Learning the Ropes|Below Ice Mountain|The Corsair Curse","The Ides of Milk","","The Ides of Milk was released 25 February 2026. Learning the Ropes (quest #0) was released in October 2025 as a short tutorial quest."
Quest Trivia,true_false,"The miniquest Enter the Abyss is required before starting Devious Minds.","","true","","True. Enter the Abyss is required for Devious Minds, Temple of the Eye, and Wanted! — despite being just a miniquest with no QP."
Quest Trivia,multiple_choice,"Which miniquest is required specifically for Desert Treasure II - The Fallen Empire?","His Faithful Servants|Curse of the Empty Lord|Enter the Abyss|Skippy and the Mogres","His Faithful Servants","","His Faithful Servants must be completed for Desert Treasure II. The General's Shadow and Curse of the Empty Lord are required for Secrets of the North."
Quest Trivia,multiple_choice,"How many quest points does the miniquest Alfred Grimhand's Barcrawl award?","0 — it's a miniquest|1|2|3","0 — it's a miniquest","","Miniquests in OSRS award no quest points. However some (like Alfred Grimhand's Barcrawl) are required as prerequisites for full quests that do award QP."
Quest Trivia,multiple_choice,"What quest was assigned the unusual number '0' when released in October 2025?","Learning the Ropes|The Ides of Milk|Tutorial Island|Doric's Quest","Learning the Ropes","","Learning the Ropes was released as quest #0 in October 2025 — a Very Short Novice tutorial quest awarding 1 QP."
Quest Trivia,true_false,"The quest Legends' Quest is a Master difficulty Long quest awarding 4 QP.","","true","","True. Legends' Quest is a Master difficulty, Long quest awarding 4 QP. It was released 20 August 2003."
Prayer,multiple_choice,"What Prayer level is required for Protect from Melee?","37|40|43|46","43","","Protect from Melee unlocks at level 43. It provides 100% protection from melee NPCs and 40% damage reduction against players."
Prayer,multiple_choice,"What Prayer level is required for Piety?","60|65|70|75","70","","Piety requires 70 Prayer AND completion of the Knight Waves Training Grounds miniquest. It boosts Attack by 20%, Strength by 23%, and Defence by 25%."
Prayer,multiple_choice,"What Prayer level unlocks Rigour?","70|74|77|80","74","","Rigour requires 74 Prayer and must be unlocked via the dexterous prayer scroll obtained from the Chambers of Xeric. It boosts Ranged by 20%/23% and Defence by 25%."
Prayer,multiple_choice,"What Prayer level unlocks Augury?","74|75|77|80","77","","Augury requires 77 Prayer and is unlocked via the arcane prayer scroll from the Chambers of Xeric. It gives +25% Magic attack and defence and +4% Magic damage."
Prayer,multiple_choice,"What level unlocks the Smite prayer, and what does it do?","50 — drains opponent's prayer by 25% of damage dealt|52 — drains opponent's prayer by 25% of damage dealt|55 — halves opponent's prayer drain rate|60 — removes opponent's overhead prayer","52 — drains opponent's prayer by 25% of damage dealt","","Smite is at level 52 and is an overhead prayer. It drains the opponent's prayer by 25% of every hit dealt — powerful in PvP to drain prayer quickly."
Prayer,multiple_choice,"What does the Preserve prayer do?","Boosted stats last 50% longer|Prevents stat drains in combat|Doubles HP restoration rate|Adds +5 to all combat stats","Boosted stats last 50% longer","","Preserve (level 55) makes boosted stats last 50% longer before decaying. It must be unlocked via the torn prayer scroll from Chambers of Xeric."
Prayer,true_false,"All prayers up to and including Mystic Might (level 45) are available to free-to-play players.","","true","","True. Prayers up to level 45 (Mystic Might) are F2P. Retribution at level 46 is the first members-only prayer."
Prayer,multiple_choice,"What happens when the Redemption prayer activates?","Heals by 25% of Prayer level when HP drops below 10%|Automatically cures poison when activated|Reduces damage taken by 25% for 30 seconds|Restores 10 prayer points per hit","Heals by 25% of Prayer level when HP drops below 10%","","Redemption (level 49) automatically heals the player by 25% of their base Prayer level when their HP falls below 10%, fully draining prayer in the process."
Prayer,multiple_choice,"Which two prayers require completion of the Knight Waves Training Grounds to unlock?","Chivalry and Piety|Piety and Rigour|Chivalry and Augury|Rigour and Augury","Chivalry and Piety","","Chivalry (level 60) and Piety (level 70) both require completion of the King's Ransom quest and the Knight Waves miniquest. They cannot be used with only the Prayer level."
Prayer,true_false,"Protection prayers reduce damage from other players by 100%, the same as they do against NPCs.","","false","","False. Protection prayers only reduce player-vs-player damage by 40%, not 100%. Against NPCs they provide full immunity."
Prayer,multiple_choice,"What prayer level is Protect from Magic?","34|37|40|43","37","","Protect from Magic is level 37 — it is the first of the three protection overhead prayers, unlocking before Protect from Missiles (40) and Protect from Melee (43)."
Prayer,multiple_choice,"Which of these prayers is unlocked via a scroll dropped by the Royal Titans?","Deadeye|Rigour|Augury|Preserve","Deadeye","","Deadeye (level 62) and Mystic Vigour (level 63) are unlocked via the deadeye prayer scroll and mystic vigour prayer scroll, dropped by the Royal Titans. They permanently override Eagle Eye and Mystic Might."
Prayer,multiple_choice,"What does each prayer bonus point add to the prayer drain resistance formula?","2 per point|3 per point|5 per point|10 per point","2 per point","","Base prayer drain resistance is 60, increased by 2 per point of prayer bonus from equipment. Formula: resistance = 2 × bonus + 60."
Prayer,true_false,"The Rapid Heal and Preserve prayers are both rendered useless when 1-tick prayer flicking.","","true","","True. Rapid Heal resets your HP regen timer every activation, and Preserve needs to be continuously active for 15 seconds before the next stat drain to work. 1-tick flicking breaks both."
Prayer,multiple_choice,"What level is the Retribution prayer, and what does it do?","46 — deals damage up to 25% of Prayer level to nearby targets on death|49 — heals when HP drops below 10%|52 — drains opponent's prayer|55 — extends boosts","46 — deals damage up to 25% of Prayer level to nearby targets on death","","Retribution (level 46) is the first members overhead prayer. On death it damages nearby targets for up to 25% of your base Prayer level in a 3x3 radius."
God Wars Dungeon,multiple_choice,"What stat is required (level 70) to access Bandos' Stronghold in the God Wars Dungeon?","Strength|Agility|Ranged|Hitpoints","Strength","","Bandos' Stronghold requires 70 Strength to bang the gong and open the door. A hammer, warhammer, or elder maul is also needed."
God Wars Dungeon,multiple_choice,"What stat is required (level 70) to access Armadyl's Eyrie?","Ranged|Agility|Strength|Magic","Ranged","","Armadyl's Eyrie requires 70 Ranged. A crossbow and mithril grapple are also needed to grapple across. A spare grapple can be found in a crate just inside."
God Wars Dungeon,multiple_choice,"What is the combat level of K'ril Tsutsaroth, the highest of the four main generals?","596|624|640|650","650","","K'ril Tsutsaroth is combat level 650 — the highest of the four main generals. He is a demon and represents Zamorak's forces."
God Wars Dungeon,multiple_choice,"What race is Commander Zilyana?","Icyene|Mahjarrat|Aviansie|Demon","Icyene","","Commander Zilyana is an Icyene, representing Saradomin. Her bodyguards are Starlight, Growler, and Bree."
God Wars Dungeon,true_false,"Kree'arra, the Armadyl general, can be attacked with melee weapons under normal circumstances.","","false","","False. Kree'arra cannot be attacked with melee weapons normally — only a salamander or halberd can reach. Kree'arra is combat level 580 and uses Ranged, Magic, and Melee attacks."
God Wars Dungeon,multiple_choice,"What happens to your prayer points upon crossing the ice bridge into Zamorak's Fortress?","They are instantly drained to 0|They are halved|They are reduced by 10|Nothing happens","They are instantly drained to 0","","Crossing into Zamorak's Fortress instantly drains all prayer points. Also, the room is dimmed and can only be lit by Saradomin's light, a drop from Commander Zilyana."
God Wars Dungeon,multiple_choice,"How many kills of a god's followers are required to enter a boss room by default?","20|30|40|50","40","","40 kills of a god's followers are required to enter their boss room by default. This can be reduced to 15 with Grandmaster Combat Achievements completion."
God Wars Dungeon,multiple_choice,"What item allows a player to completely skip the kill count requirement to enter a GWD boss room?","Ecumenical key|Zamorak's favour|God symbol|Ghostly key","Ecumenical key","","The Ecumenical key (obtained in the Wilderness GWD) skips the kill count requirement entirely. It disintegrates on use."
God Wars Dungeon,multiple_choice,"What does K'ril Tsutsaroth's special melee attack do?","Hits through Protect from Melee and drains half of current prayer|Poisons for 16 damage|Stuns and binds for 5 seconds|Doubles its next hit","Hits through Protect from Melee and drains half of current prayer","","K'ril's spec bypasses Protect from Melee AND drains half of the target's current prayer points. He can also inflict poison starting at 16 damage."
God Wars Dungeon,multiple_choice,"What is Nex's combat level?","850|950|1001|1100","1001","","Nex is combat level 1001 and is known as the Angel of Death. She is a Nihil and represents Zaros. She's sealed behind the Ancient Prison, accessible via the Frozen Key."
God Wars Dungeon,multiple_choice,"What is assembled from drops of the four main generals and used to permanently unlock the Ancient Prison?","Frozen key|Ecumenical key|Ancient tablet|Godsword shard set","Frozen key","","The Frozen Key is assembled from drops of all four main generals and used once on the Frozen Door to permanently unlock the Ancient Prison. The key disintegrates on use."
God Wars Dungeon,true_false,"Each GWD boss chamber altar can only be used once every 10 minutes and restores one prayer point above maximum per god-aligned item worn.","","true","","True. The altar restores one extra prayer point per god-affiliated item worn, but can only be used once per 10 minutes and not during combat. It can also teleport you outside the chamber."
God Wars Dungeon,multiple_choice,"What minimum stat is required to enter the God Wars Dungeon (push the boulder)?","60 Strength OR 60 Agility|70 Strength OR 70 Agility|60 Strength only|50 Strength OR 50 Agility","60 Strength OR 60 Agility","","Players need either 60 Strength or 60 Agility to push the boulder at the GWD entrance. A rope is also required on the first visit."
God Wars Dungeon,multiple_choice,"What race is Kree'arra, the Armadyl general?","Aviansie|Icyene|Demon|Ourg","Aviansie","","Kree'arra is an Aviansie representing Armadyl. His three bodyguards are Wingman Skree, Flockleader Geerin, and Flight Kilisa."
Chambers of Xeric,multiple_choice,"When was the Chambers of Xeric released?","5 January 2017|12 June 2016|1 March 2018|14 October 2015","5 January 2017","","The Chambers of Xeric was released on 5 January 2017 — it was the first raid ever introduced to Old School RuneScape."
Chambers of Xeric,multiple_choice,"How many players can participate in a Chambers of Xeric raid simultaneously?","1 to 20|1 to 50|1 to 100|1 to 10","1 to 100","","Chambers of Xeric supports 1 to 100 players simultaneously. Enemy stats scale with team size."
Chambers of Xeric,multiple_choice,"What is the final boss of the Chambers of Xeric?","Great Olm|Tekton|Vasa Nistirio|Vespula","Great Olm","","The Great Olm is the final boss and is always on the static third floor of every layout. All other floors are randomised."
Chambers of Xeric,true_false,"The Chambers of Xeric was the first raid introduced to Old School RuneScape.","","true","","True. Chambers of Xeric (released January 2017) was OSRS's first raid. The Theatre of Blood followed in 2018."
Chambers of Xeric,multiple_choice,"What happens to a player's points when they die inside the Chambers of Xeric?","They lose 40% of their points|They lose all points|They lose 10% of their points|Points are unaffected by death","They lose 40% of their points","","Dying in CoX costs 40% of your personal points. If you die with very few points (less than 5% of team total), the team loses 5% instead."
Chambers of Xeric,multiple_choice,"What Herblore level is needed to make an Overload (standard) inside the Chambers of Xeric?","65|70|75|80","75","","Standard Overloads inside CoX require 75 Herblore. The stronger Overload+ requires 90 Herblore. They boost all combat stats by 5 + 13%."
Chambers of Xeric,multiple_choice,"Which prayer scrolls can be obtained from the Chambers of Xeric?","Torn, dexterous, and arcane prayer scrolls|Rigour, Augury, and Preserve scrolls|Wrath, protection, and curse scrolls|Ancient, standard, and lunar prayer scrolls","Torn, dexterous, and arcane prayer scrolls","","The torn prayer scroll unlocks Preserve (55), the dexterous scroll unlocks Rigour (74), and the arcane scroll unlocks Augury (77)."
Chambers of Xeric,multiple_choice,"How long do herbs take to grow inside the Chambers of Xeric farming plots?","30 seconds|5 minutes|1 minute|Instantly","30 seconds","","Due to the magic of the Chambers, herbs grow in just 30 seconds — far faster than any normal farming patch."
Chambers of Xeric,multiple_choice,"What is the fairy ring code that brings you close to Mount Quidamortem?","BLS|AJR|CKR|DKP","BLS","","Fairy ring BLS brings players near Mount Quidamortem. Running north from the landing point reaches the CoX entrance."
